"user id"," handle"," count"
"sql-101","unknown","9"
"squid","unknown","23"
"squidward-debug","unknown","0"
"squidward-test-may","unknown","0"
"stingray-river","unknown","0"
"stuart","unknown","3"
"summer-campout","unknown","0"
"sun-prairie-carpool","unknown","3"
"sunfish","unknown","15"
"sunfish-test-august","unknown","0"
"support-phone-aug","unknown","8"
"sutter-bi-intro-meet","unknown","0"
"swat-louisville-flow","unknown","5"
"swat-louisville-sync","unknown","5"
"swat-lvl-fhc","unknown","0"
"swat-nemours","unknown","0"
"tableau-tracking","unknown","26"
"tasteofmadison","unknown","4"
"team-implementation","unknown","0"
"team-peakflow","unknown","14"
"team-pharma","unknown","31"
"team-starenterprise","unknown","13"
"team-sw-proddev","unknown","24"
"ted-_-chris-_-david","unknown","0"
"temp-dignitycaremgmt","unknown","5"
"temp-endeavour","unknown","0"
"temp-jeff-test","unknown","0"
"temp-mvm","unknown","0"
"temp-mvm-hecon","unknown","0"
"temp-omron","unknown","0"
"temp-uhc-call","unknown","0"
"temp-united-inovation","unknown","3"
"terrace","unknown","0"
"test","unknown","0"
"test-chase","unknown","0"
"testing-wishlist","unknown","0"
"thermostat","unknown","0"
"til","unknown","46"
"tool-cli","unknown","4"
"tool-instasizer","unknown","0"
"travel","unknown","35"
"travel-coord-july","unknown","0"
"trip-chiesi","unknown","0"
"trip-nypro-aptar","unknown","0"
"tuffli-test","unknown","1"
"tuffli-test2","unknown","0"
"uas","unknown","2"
"uei-big-brother","unknown","5"
"ul-wicklund-bi","unknown","0"
"unknown_tracking","unknown","0"
"usability","unknown","6"
"usability_live","unknown","1"
"user-interviews","unknown","8"
"user-retention","unknown","0"
"ut_health","unknown","2"
"van-down-by-the-river","unknown","6"
"volleyball","unknown","0"
"vpc-migration","unknown","0"
"vri-rollout","unknown","0"
"walleye","unknown","10"
"wandawega-2015","unknown","0"
"wandawega-2016","unknown","46"
"wandawega-barcamp","unknown","0"
"web-optmize-aug2016","unknown","6"
"webware-standup","unknown","0"
"which-srs","unknown","6"
"whiteboard-art","unknown","6"
"zapier-test","unknown","0"
